,date,event,location
0,2018-01-01,Delhi was engulfed in the worst fog of the season; transport disrupted.,Delhi
1,2018-01-01,Telangana started providing uninterrupted free power supply to 2.3 million agricultural consumers.,Telangana
2,2018-01-01,"Clashes between Dalits and Marathas during Koregaon Bhima victory celebrations; schools shut, riots spread.",Maharashtra
3,2018-01-02,"290,000 doctors went on strike protesting the National Medical Commission Bill.",India
4,2018-01-02,Finance Minister Arun Jaitley declared cryptocurrencies like Bitcoin as not legal tender.,India
5,2018-01-05,"GDP growth for 2017-18 estimated at 6.5%, slower due to GST transition and agrarian distress.",India
6,2018-01-06,IED blast killed 4 policemen in Sopore.,Jammu and Kashmir
7,2018-01-06,CBI court sentenced Lalu Prasad Yadav to jail for Fodder Scam case.,Bihar
8,2018-01-06,Avalanche killed 11 people in Kupwara district.,Jammu and Kashmir
9,2018-01-08,Law Minister talked about freedom of the press amid Aadhaar data FIR controversy.,India
10,2018-01-09,Supreme Court reversed mandatory playing of National Anthem in movie halls.,India
11,2018-01-10 to 2018-01-17,Kathua rape and murder case surfaced.,"Kathua, Jammu and Kashmir"
